GAMES,PPM,MPG,HGT,FGP,AGE,FTP
80.00,.57,33.88,185.00,45.00,24.00,93.50
69.00,.41,36.22,178.00,43.90,30.00,85.60
81.00,.44,26.70,196.00,46.20,34.00,84.80
55.00,.46,36.55,185.00,43.50,23.00,77.60
70.00,.27,24.27,188.00,41.50,26.00,67.30
81.00,.40,30.77,188.00,49.90,26.00,86.10
10.00,.24,9.70,210.00,36.00,33.00,83.30
70.00,.44,17.76,180.00,45.10,26.00,83.10
46.00,.37,12.00,196.00,36.90,24.00,67.30
41.00,.45,12.12,188.00,41.50,31.00,77.80
74.00,.32,11.58,183.00,42.30,24.00,73.20
59.00,.40,24.31,198.00,44.30,34.00,78.90
80.00,.38,35.25,185.00,42.90,26.00,72.80
82.00,.29,34.55,160.00,45.30,28.00,83.30
77.00,.35,22.87,198.00,47.10,30.00,79.80
82.00,.44,19.78,183.00,47.80,28.00,82.50
82.00,.34,18.49,180.00,47.50,28.00,83.00
75.00,.33,23.01,191.00,46.30,25.00,73.20
81.00,.39,27.83,185.00,46.80,25.00,79.30
60.00,.58,21.67,193.00,47.70,26.00,81.00
35.00,.25,14.57,188.00,54.80,37.00,88.90
80.00,.38,27.90,188.00,46.40,25.00,80.50
64.00,.24,10.08,185.00,39.20,24.00,71.40
39.00,.42,6.23,185.00,51.40,24.00,68.40
78.00,.45,20.17,201.00,44.30,26.00,72.70
50.00,.33,16.30,196.00,43.80,23.00,79.60
74.00,.41,21.59,188.00,43.70,30.00,79.60
79.00,.32,24.46,185.00,49.80,27.00,56.00
49.00,.58,34.10,201.00,42.90,31.00,83.90
76.00,.58,40.71,191.00,46.60,30.00,86.40
40.00,.49,28.35,191.00,46.80,28.00,84.40
74.00,.47,20.31,196.00,50.50,31.00,72.60
53.00,.40,16.36,191.00,40.70,33.00,79.40
49.00,.32,7.76,196.00,37.80,25.00,83.30
69.00,.48,35.22,196.00,44.90,25.00,77.20
74.00,.30,21.95,191.00,44.10,28.00,74.30
13.00,.77,6.23,196.00,50.90,23.00,75.00
53.00,.38,11.81,185.00,43.90,23.00,62.50
79.00,.34,25.75,191.00,43.60,31.00,77.70
66.00,.54,39.53,183.00,44.70,27.00,77.40
61.00,.53,34.56,193.00,41.90,32.00,75.60
81.00,.49,36.67,198.00,45.10,29.00,76.90
81.00,.55,36.75,191.00,47.00,27.00,86.00
54.00,.30,13.31,185.00,39.00,25.00,85.00
79.00,.53,36.20,193.00,47.00,30.00,86.50
28.00,.49,33.50,198.00,39.50,23.00,73.90
82.00,.38,38.01,191.00,48.60,28.00,80.30
8.00,.51,17.00,170.00,59.50,25.00,77.80
78.00,.30,14.38,185.00,43.60,35.00,77.60
75.00,.32,27.07,180.00,50.20,28.00,79.10
49.00,.48,33.53,185.00,49.90,27.00,81.90
78.00,.83,39.32,198.00,49.50,30.00,83.70
9.00,.61,6.11,193.00,42.40,27.00,37.50
51.00,.35,17.41,185.00,39.10,26.00,77.90
33.00,.46,19.24,193.00,43.60,27.00,80.30
72.00,.37,12.24,180.00,42.50,30.00,84.00
47.00,.31,24.28,196.00,41.50,24.00,70.00
79.00,.56,32.38,193.00,49.40,32.00,85.20
30.00,.62,27.87,196.00,54.30,29.00,76.10
72.00,.44,31.26,193.00,40.70,28.00,71.90
81.00,.28,18.56,185.00,45.60,23.00,57.40
82.00,.59,36.02,201.00,47.90,28.00,88.00
73.00,.54,18.95,196.00,47.50,22.00,76.20
80.00,.47,30.46,185.00,46.80,25.00,78.00
74.00,.36,20.62,193.00,50.70,27.00,86.30
33.00,.38,9.42,193.00,37.20,26.00,56.70
45.00,.37,22.00,191.00,47.10,24.00,72.80
77.00,.51,20.51,188.00,47.00,24.00,76.80
59.00,.24,17.46,188.00,45.10,33.00,85.00
82.00,.43,31.07,193.00,49.40,25.00,77.00
76.00,.48,21.79,193.00,46.80,24.00,78.60
31.00,.67,4.48,196.00,46.30,24.00,60.00
77.00,.63,28.81,193.00,48.90,34.00,88.90
81.00,.51,35.59,191.00,45.40,30.00,84.30
68.00,.31,12.63,185.00,35.80,25.00,79.40
75.00,.57,31.73,183.00,48.40,29.00,94.80
74.00,.32,32.38,185.00,47.90,27.00,74.20
45.00,.57,38.40,196.00,47.40,28.00,84.50
77.00,.32,24.49,193.00,43.70,32.00,82.10
69.00,.31,29.07,193.00,45.80,31.00,65.60
79.00,.42,20.06,188.00,42.30,27.00,57.40
68.00,.31,23.57,198.00,39.30,27.00,78.20
79.00,.40,38.43,185.00,46.70,29.00,89.20
55.00,.44,13.67,193.00,48.40,25.00,75.60
79.00,.27,16.03,191.00,43.30,23.00,79.20
39.00,.40,22.18,196.00,44.60,23.00,83.20
68.00,.41,22.74,191.00,45.80,24.00,85.80
82.00,.44,29.54,191.00,52.00,28.00,87.80
48.00,.48,33.54,203.00,45.10,24.00,78.70
77.00,.43,35.60,196.00,46.40,23.00,74.60
79.00,.56,31.35,196.00,42.80,28.00,79.50
82.00,.43,34.91,185.00,48.60,31.00,79.80
78.00,.43,31.72,191.00,48.50,27.00,71.70
80.00,.48,36.53,185.00,41.80,32.00,73.70
82.00,.43,35.28,188.00,50.80,32.00,82.30
68.00,.39,13.37,196.00,48.50,34.00,81.80
37.00,.16,13.81,193.00,35.40,32.00,46.20
69.00,.43,33.84,170.00,43.30,30.00,85.10
80.00,.50,38.80,198.00,51.70,26.00,84.10
57.00,.26,17.46,193.00,37.80,27.00,65.40
81.00,.43,25.67,198.00,45.30,30.00,84.00
35.00,.33,6.91,188.00,36.50,23.00,81.80
76.00,.43,35.01,188.00,44.60,27.00,90.70
40.00,.39,4.35,183.00,34.80,23.00,73.10
63.00,.22,13.27,193.00,41.30,31.00,87.50
